Date_Time,Serial#,Wavelength[nm],Power[W],Temperature_1[C],Temperature_2[C]
2021-11-03 15:16:47,dmged,375,2.52087666e-05,35.0,25.25
2021-11-03 15:17:37,dmged,375,2.54315619e-05,41.75,25.0
2021-11-03 15:18:27,dmged,375,2.54835486e-05,47.5,25.0
2021-11-03 15:19:17,dmged,375,2.51679194e-05,54.25,25.25
2021-11-03 15:20:07,dmged,375,2.51827714e-05,60.25,25.25
2021-11-03 15:20:57,dmged,375,2.52941718e-05,66.25,25.25
2021-11-03 15:21:47,dmged,375,2.52607515e-05,72.0,25.25
2021-11-03 15:22:37,dmged,375,2.53275903e-05,78.5,25.5
2021-11-03 15:23:27,dmged,375,2.51345009e-05,82.25,25.5
2021-11-03 15:24:17,dmged,375,2.50676603e-05,86.5,25.75
2021-11-03 15:25:07,dmged,375,2.50676603e-05,85.25,26.0
2021-11-03 15:25:57,dmged,375,2.50639478e-05,85.0,26.25
2021-11-03 15:26:47,dmged,375,2.47928747e-05,84.0,26.0
2021-11-03 15:27:37,dmged,375,2.50676603e-05,84.0,26.0
2021-11-03 15:28:27,dmged,375,2.49079894e-05,83.0,26.0
2021-11-03 15:29:17,dmged,375,2.48560027e-05,82.25,26.5
2021-11-03 15:30:07,dmged,375,2.47000444e-05,81.5,26.5
2021-11-03 15:30:57,dmged,375,2.46257769e-05,80.75,26.5
2021-11-03 15:31:47,dmged,375,2.46369164e-05,79.75,26.75
2021-11-03 15:32:37,dmged,375,2.47705957e-05,79.0,27.0
2021-11-03 15:33:27,dmged,375,2.47743119e-05,78.0,27.0
2021-11-03 15:34:17,dmged,375,2.47446042e-05,77.5,27.0
2021-11-03 15:35:07,dmged,375,2.47371754e-05,78.25,27.25
2021-11-03 15:35:58,dmged,375,2.49896821e-05,82.0,26.75
2021-11-03 15:36:48,dmged,375,2.49302702e-05,81.25,27.0
2021-11-03 15:37:38,dmged,375,2.48522902e-05,80.5,27.25
2021-11-03 15:38:28,dmged,375,2.46146374e-05,79.75,27.25
2021-11-03 15:39:18,dmged,375,2.45923566e-05,79.0,27.5
2021-11-03 15:40:08,dmged,375,2.46777636e-05,78.25,27.75
2021-11-03 15:40:58,dmged,375,2.45886458e-05,78.25,27.25
2021-11-03 15:41:48,dmged,375,2.44512539e-05,83.0,27.5
2021-11-03 15:42:38,dmged,375,2.45032388e-05,82.0,27.75
2021-11-03 15:43:28,dmged,375,2.43992672e-05,81.25,28.0
2021-11-03 15:44:18,dmged,375,2.41653288e-05,80.25,27.5
2021-11-03 15:45:08,dmged,375,2.4206176e-05,79.5,28.0
2021-11-03 15:45:58,dmged,375,2.41616162e-05,79.0,27.75
2021-11-03 15:46:48,dmged,375,2.40650697e-05,78.5,28.0
2021-11-03 15:47:38,dmged,375,2.39313904e-05,83.25,28.0
2021-11-03 15:48:28,dmged,375,2.40316494e-05,82.75,28.0
2021-11-03 15:49:18,dmged,375,2.38905468e-05,81.75,27.75
2021-11-03 15:50:08,dmged,375,2.38868306e-05,80.75,28.0
2021-11-03 15:50:58,dmged,375,2.39239671e-05,80.0,27.5
2021-11-03 15:51:48,dmged,375,2.36826017e-05,79.25,28.25
2021-11-03 15:52:38,dmged,375,2.37940003e-05,78.5,27.75
2021-11-03 15:53:28,dmged,375,2.35860534e-05,82.25,28.0
2021-11-03 15:54:19,dmged,375,2.35117895e-05,83.0,28.25
2021-11-03 15:55:09,dmged,375,2.36009091e-05,81.75,28.75
